,celltypes_fine,celltypes_coarse
35540-3,Classical_KRT7,Classical PDAC
35542-3,Acinar cells,Acinar cells
35545-3,T cells,Lymphocytes
35550-3,Endothelial cells,Endothelial cells
35557-3,Endothelial cells,Endothelial cells
35560-3,myCAF_ACTA2,Fibroblasts
35562-3,Classical_CEACAM,Classical PDAC
35563-3,B cells,Lymphocytes
35572-3,myCAF_ACTA2,Fibroblasts
35575-3,Acinar cells,Acinar cells
35577-3,iCAF,Fibroblasts
35580-3,NK cells,Lymphocytes
35589-3,Endothelial cells,Endothelial cells
35614-3,T cells,Lymphocytes
35622-3,Acinar cells,Acinar cells
35624-3,Classical_CEACAM,Classical PDAC
35625-3,B cells,Lymphocytes
35629-3,NK cells,Lymphocytes
35630-3,Schwann cells,Schwann cells
35633-3,Endothelial cells,Endothelial cells
35642-3,myCAF_ACTA2,Fibroblasts
35652-3,Basal,Basal-like PDAC
35657-3,Classical_CEACAM,Classical PDAC
35666-3,NK cells,Lymphocytes
35670-3,myCAF_ACTA2,Fibroblasts
35671-3,B cells,Lymphocytes
35673-3,Classical_TFF1,Classical PDAC
35698-3,myCAF_ACTA2,Fibroblasts
35699-3,myCAF_ACTA2,Fibroblasts
35700-3,Classical_KRT7,Classical PDAC
35702-3,Acinar cells,Acinar cells
35707-3,Beta cells,Endocrine cells
35712-3,Schwann cells,Schwann cells
35713-3,Classical_TFF1,Classical PDAC
35714-3,Classical_KRT7,Classical PDAC
35719-3,Classical_TFF1,Classical PDAC
35721-3,Classical_CEACAM,Classical PDAC
35726-3,Classical_TFF1,Classical PDAC
35727-3,Ductal cells,Ductal cells
35728-3,Classical_CEACAM,Classical PDAC
35730-3,Endothelial cells,Endothelial cells
35737-3,Acinar cells,Acinar cells
35740-3,Acinar cells,Acinar cells
35746-3,T cells,Lymphocytes
35759-3,myCAF_POSTN,Fibroblasts
35760-3,Classical_TFF1,Classical PDAC
35769-3,B cells,Lymphocytes
35770-3,B cells,Lymphocytes
35773-3,Beta cells,Endocrine cells
35779-3,Acinar cells,Acinar cells
35790-3,Endothelial cells,Endothelial cells
35794-3,Classical_KRT7,Classical PDAC
35805-3,Basal,Basal-like PDAC
35806-3,Schwann cells,Schwann cells
35812-3,Classical_KRT7,Classical PDAC
35822-3,Macrophages_M2,Macrophages
35827-3,Alpha cells,Endocrine cells
35838-3,NK cells,Lymphocytes
35842-3,Acinar cells,Acinar cells
35844-3,Classical_TFF1,Classical PDAC
35847-3,Classical_TFF1,Classical PDAC
35849-3,Acinar cells,Acinar cells
35850-3,Classical_KRT7,Classical PDAC
35855-3,Acinar cells,Acinar cells
35856-3,Ductal cells,Ductal cells
35861-3,myCAF_ACTA2,Fibroblasts
35862-3,Classical_TFF1,Classical PDAC
35874-3,Classical_KRT7,Classical PDAC
35876-3,Classical_CEACAM,Classical PDAC
35893-3,Classical_CEACAM,Classical PDAC
35898-3,Acinar cells,Acinar cells
35908-3,NK cells,Lymphocytes
35920-3,T cells,Lymphocytes
35936-3,Classical_TFF1,Classical PDAC
35940-3,Acinar cells,Acinar cells
35949-3,Classical_CEACAM,Classical PDAC
35953-3,Classical_TFF1,Classical PDAC
35965-3,Classical_CEACAM,Classical PDAC
35974-3,Classical_CEACAM,Classical PDAC
35977-3,Macrophages_M1,Macrophages
35992-3,Classical_CEACAM,Classical PDAC
36008-3,Classical_CEACAM,Classical PDAC
36010-3,Delta cells,Endocrine cells
36019-3,Endothelial cells,Endothelial cells
36022-3,myCAF_POSTN,Fibroblasts
36023-3,NK cells,Lymphocytes
36032-3,Acinar cells,Acinar cells
36044-3,Classical_CEACAM,Classical PDAC
36053-3,Basal,Basal-like PDAC
36054-3,Classical_CEACAM,Classical PDAC
36055-3,Classical_CEACAM,Classical PDAC
36064-3,myCAF_ACTA2,Fibroblasts
36066-3,Macrophages_M2,Macrophages
36068-3,Macrophages_M1,Macrophages
36073-3,Classical_CEACAM,Classical PDAC
36074-3,Classical_KRT7,Classical PDAC
36088-3,Alpha cells,Endocrine cells
36089-3,myCAF_ACTA2,Fibroblasts
36090-3,Classical_CEACAM,Classical PDAC
36109-3,Classical_CEACAM,Classical PDAC
36111-3,NK cells,Lymphocytes
36128-3,Ductal cells,Ductal cells
36129-3,Classical_TFF1,Classical PDAC
36133-3,iCAF,Fibroblasts
36135-3,Endothelial cells,Endothelial cells
36140-3,Acinar cells,Acinar cells
36147-3,B cells,Lymphocytes
36149-3,Macrophages_M2,Macrophages
36152-3,Classical_TFF1,Classical PDAC
36153-3,Alpha cells,Endocrine cells
36156-3,Dendritic cells,Dendritic cells
36165-3,Endothelial cells,Endothelial cells
36177-3,Acinar cells,Acinar cells
36183-3,Beta cells,Endocrine cells
36191-3,Classical_CEACAM,Classical PDAC
36193-3,Endothelial cells,Endothelial cells
36194-3,myCAF_ACTA2,Fibroblasts
36195-3,Ductal cells,Ductal cells
36199-3,Classical_CEACAM,Classical PDAC
36205-3,Classical_CEACAM,Classical PDAC
36209-3,Classical_TFF1,Classical PDAC
36223-3,T cells,Lymphocytes
36235-3,Classical_TFF1,Classical PDAC
36237-3,myCAF_ACTA2,Fibroblasts
36251-3,Classical_TFF1,Classical PDAC
36259-3,Dendritic cells,Dendritic cells
36268-3,Acinar cells,Acinar cells
36270-3,Acinar cells,Acinar cells
36280-3,Macrophages_M1,Macrophages
36285-3,Ductal cells,Ductal cells
36290-3,myCAF_ACTA2,Fibroblasts
36300-3,B cells,Lymphocytes
36303-3,iCAF,Fibroblasts
36307-3,T cells,Lymphocytes
36361-3,Classical_KRT7,Classical PDAC
36362-3,Basal,Basal-like PDAC
36376-3,Endothelial cells,Endothelial cells
36378-3,Classical_KRT7,Classical PDAC
36381-3,Acinar cells,Acinar cells
36393-3,Classical_CEACAM,Classical PDAC
36397-3,Classical_TFF1,Classical PDAC
36398-3,Acinar cells,Acinar cells
36404-3,Classical_CEACAM,Classical PDAC
36405-3,Basal,Basal-like PDAC
36408-3,Classical_TFF1,Classical PDAC
36411-3,myCAF_POSTN,Fibroblasts
36412-3,Endothelial cells,Endothelial cells
36421-3,NK cells,Lymphocytes
36432-3,Classical_CEACAM,Classical PDAC
36443-3,Classical_TFF1,Classical PDAC
36447-3,Basal,Basal-like PDAC
36452-3,Classical_TFF1,Classical PDAC
36457-3,Endothelial cells,Endothelial cells
36464-3,Beta cells,Endocrine cells
36472-3,Classical_TFF1,Classical PDAC
36473-3,B cells,Lymphocytes
36478-3,T cells,Lymphocytes
36479-3,Macrophages_M2,Macrophages
36481-3,Acinar cells,Acinar cells
36484-3,Classical_CEACAM,Classical PDAC
36485-3,Classical_CEACAM,Classical PDAC
36488-3,Classical_CEACAM,Classical PDAC
36490-3,Classical_CEACAM,Classical PDAC
36493-3,Macrophages_M1,Macrophages
36494-3,Schwann cells,Schwann cells
36496-3,Basal,Basal-like PDAC
36499-3,Classical_CEACAM,Classical PDAC
36500-3,Classical_CEACAM,Classical PDAC
36502-3,Classical_KRT7,Classical PDAC
36514-3,Classical_CEACAM,Classical PDAC
36515-3,Classical_CEACAM,Classical PDAC
36518-3,Classical_CEACAM,Classical PDAC
36537-3,Beta cells,Endocrine cells
36538-3,Classical_KRT7,Classical PDAC
36540-3,Classical_CEACAM,Classical PDAC
36541-3,Ductal cells,Ductal cells
36548-3,Gamma cells,Endocrine cells
36549-3,Classical_CEACAM,Classical PDAC
36554-3,Ductal cells,Ductal cells
36560-3,NK cells,Lymphocytes
36562-3,Beta cells,Endocrine cells
36567-3,Ductal cells,Ductal cells
36570-3,Ductal cells,Ductal cells
36576-3,Classical_CEACAM,Classical PDAC
36580-3,Classical_KRT7,Classical PDAC
36587-3,Acinar cells,Acinar cells
36588-3,Ductal cells,Ductal cells
36600-3,Endothelial cells,Endothelial cells
36606-3,Classical_CEACAM,Classical PDAC
36608-3,Classical_TFF1,Classical PDAC
36609-3,Classical_KRT7,Classical PDAC
36614-3,Ductal cells,Ductal cells
36616-3,Acinar cells,Acinar cells
36621-3,myCAF_POSTN,Fibroblasts
36634-3,myCAF_ACTA2,Fibroblasts
36648-3,Classical_CEACAM,Classical PDAC
36653-3,Ductal cells,Ductal cells
36660-3,Acinar cells,Acinar cells
36663-3,myCAF_ACTA2,Fibroblasts
36667-3,T cells,Lymphocytes
36668-3,T cells,Lymphocytes
36669-3,Alpha cells,Endocrine cells
36670-3,Classical_TFF1,Classical PDAC
36682-3,T cells,Lymphocytes
36686-3,Classical_CEACAM,Classical PDAC
36696-3,Classical_CEACAM,Classical PDAC
36699-3,Basal,Basal-like PDAC
36701-3,Schwann cells,Schwann cells
36703-3,Beta cells,Endocrine cells
36710-3,myCAF_ACTA2,Fibroblasts
36711-3,Schwann cells,Schwann cells
36714-3,T cells,Lymphocytes
36715-3,Beta cells,Endocrine cells
36720-3,Classical_KRT7,Classical PDAC
36722-3,B cells,Lymphocytes
36725-3,Acinar cells,Acinar cells
36726-3,Classical_CEACAM,Classical PDAC
36728-3,B cells,Lymphocytes
36732-3,Schwann cells,Schwann cells
36739-3,Ductal cells,Ductal cells
36743-3,Classical_CEACAM,Classical PDAC
36747-3,Ductal cells,Ductal cells
36750-3,myCAF_ACTA2,Fibroblasts
36754-3,Acinar cells,Acinar cells
36797-3,Classical_CEACAM,Classical PDAC
36815-3,B cells,Lymphocytes
36820-3,Acinar cells,Acinar cells
36835-3,Classical_CEACAM,Classical PDAC
36842-3,Classical_TFF1,Classical PDAC
36845-3,Classical_TFF1,Classical PDAC
36852-3,myCAF_ACTA2,Fibroblasts
36854-3,Classical_TFF1,Classical PDAC
36855-3,Macrophages_M2,Macrophages
36856-3,Basal,Basal-like PDAC
36870-3,Acinar cells,Acinar cells
36872-3,Basal,Basal-like PDAC
36874-3,Macrophages_M1,Macrophages
36879-3,Schwann cells,Schwann cells
36890-3,B cells,Lymphocytes
36899-3,Classical_TFF1,Classical PDAC
36908-3,Basal,Basal-like PDAC
36909-3,Acinar cells,Acinar cells
36913-3,Acinar cells,Acinar cells
36941-3,Classical_CEACAM,Classical PDAC
36946-3,Classical_KRT7,Classical PDAC
36949-3,Classical_CEACAM,Classical PDAC
36950-3,Classical_TFF1,Classical PDAC
36952-3,Schwann cells,Schwann cells
36953-3,Macrophages_M1,Macrophages
36969-3,Classical_KRT7,Classical PDAC
36974-3,Macrophages_M1,Macrophages
37002-3,Classical_KRT7,Classical PDAC
37009-3,Classical_TFF1,Classical PDAC
37013-3,Classical_CEACAM,Classical PDAC
37018-3,Classical_CEACAM,Classical PDAC
37019-3,B cells,Lymphocytes
37025-3,myCAF_ACTA2,Fibroblasts
37035-3,Acinar cells,Acinar cells
37042-3,Endothelial cells,Endothelial cells
37044-3,Classical_TFF1,Classical PDAC
37053-3,Endothelial cells,Endothelial cells
37058-3,Endothelial cells,Endothelial cells
37060-3,Acinar cells,Acinar cells
37083-3,Classical_CEACAM,Classical PDAC
37088-3,Acinar cells,Acinar cells
37091-3,myCAF_ACTA2,Fibroblasts
37101-3,Acinar cells,Acinar cells
37107-3,Schwann cells,Schwann cells
37110-3,Classical_CEACAM,Classical PDAC
37111-3,myCAF_ACTA2,Fibroblasts
37112-3,Classical_TFF1,Classical PDAC
37114-3,Classical_CEACAM,Classical PDAC
37120-3,myCAF_ACTA2,Fibroblasts
37130-3,Basal,Basal-like PDAC
37144-3,Classical_CEACAM,Classical PDAC
37155-3,Classical_TFF1,Classical PDAC
37157-3,myCAF_ACTA2,Fibroblasts
37158-3,Classical_TFF1,Classical PDAC
37165-3,Ductal cells,Ductal cells
37169-3,Classical_KRT7,Classical PDAC
37170-3,Schwann cells,Schwann cells
37176-3,Acinar cells,Acinar cells
37178-3,Classical_CEACAM,Classical PDAC
37180-3,Classical_REG4,Classical PDAC
37186-3,Acinar cells,Acinar cells
37187-3,Classical_CEACAM,Classical PDAC
37206-3,Macrophages_M1,Macrophages
37222-3,T cells,Lymphocytes
37229-3,iCAF,Fibroblasts
37233-3,Classical_CEACAM,Classical PDAC
37234-3,Classical_CEACAM,Classical PDAC
37238-3,Classical_CEACAM,Classical PDAC
37240-3,Classical_CEACAM,Classical PDAC
37242-3,Ductal cells,Ductal cells
37246-3,Endothelial cells,Endothelial cells
37257-3,myCAF_ACTA2,Fibroblasts
37259-3,Beta cells,Endocrine cells
37264-3,Classical_KRT7,Classical PDAC
37269-3,Classical_TFF1,Classical PDAC
37275-3,NK cells,Lymphocytes
37285-3,Classical_TFF1,Classical PDAC
37293-3,B cells,Lymphocytes
37294-3,T cells,Lymphocytes
37295-3,Macrophages_M1,Macrophages
37299-3,Classical_CEACAM,Classical PDAC
37313-3,B cells,Lymphocytes
37315-3,myCAF_ACTA2,Fibroblasts
37328-3,iCAF,Fibroblasts
37330-3,Classical_CEACAM,Classical PDAC
37338-3,Classical_CEACAM,Classical PDAC
37372-3,Acinar cells,Acinar cells
37377-3,Acinar cells,Acinar cells
37381-3,Classical_CEACAM,Classical PDAC
37382-3,Classical_CEACAM,Classical PDAC
37383-3,Classical_KRT7,Classical PDAC
37388-3,myCAF_ACTA2,Fibroblasts
37395-3,myCAF_ACTA2,Fibroblasts
37396-3,NK cells,Lymphocytes
37400-3,Macrophages_M2,Macrophages
37405-3,myCAF_ACTA2,Fibroblasts
37413-3,Acinar cells,Acinar cells
37414-3,myCAF_ACTA2,Fibroblasts
37416-3,Macrophages_M1,Macrophages
37428-3,Classical_CEACAM,Classical PDAC
37437-3,myCAF_POSTN,Fibroblasts
37445-3,Beta cells,Endocrine cells
37463-3,Ductal cells,Ductal cells
37467-3,Acinar cells,Acinar cells
37468-3,B cells,Lymphocytes
37472-3,B cells,Lymphocytes
37473-3,Ductal cells,Ductal cells
37481-3,myCAF_ACTA2,Fibroblasts
37482-3,myCAF_ACTA2,Fibroblasts
37490-3,Acinar cells,Acinar cells
37503-3,Classical_CEACAM,Classical PDAC
37519-3,Ductal cells,Ductal cells
37520-3,myCAF_POSTN,Fibroblasts
37523-3,Classical_KRT7,Classical PDAC
37530-3,Classical_CEACAM,Classical PDAC
37534-3,B cells,Lymphocytes
37542-3,Beta cells,Endocrine cells
37543-3,Classical_CEACAM,Classical PDAC
37544-3,Macrophages_M1,Macrophages
37549-3,Endothelial cells,Endothelial cells
37552-3,Classical_TFF1,Classical PDAC
37558-3,Ductal cells,Ductal cells
37563-3,Acinar cells,Acinar cells
37568-3,Endothelial cells,Endothelial cells
37575-3,Acinar cells,Acinar cells
37597-3,Acinar cells,Acinar cells
37599-3,Classical_TFF1,Classical PDAC
37607-3,Ductal cells,Ductal cells
37613-3,NK cells,Lymphocytes
37614-3,Ductal cells,Ductal cells
37626-3,Classical_CEACAM,Classical PDAC
37635-3,Classical_CEACAM,Classical PDAC
37644-3,NK cells,Lymphocytes
37648-3,myCAF_POSTN,Fibroblasts
37655-3,T cells,Lymphocytes
37658-3,B cells,Lymphocytes
37664-3,Classical_CEACAM,Classical PDAC
37676-3,Acinar cells,Acinar cells
37679-3,Acinar cells,Acinar cells
37687-3,Classical_TFF1,Classical PDAC
37692-3,Classical_CEACAM,Classical PDAC
37699-3,Acinar cells,Acinar cells
37712-3,Classical_TFF1,Classical PDAC
37718-3,Classical_CEACAM,Classical PDAC
37730-3,Classical_KRT7,Classical PDAC
37736-3,Classical_CEACAM,Classical PDAC
37738-3,Basal,Basal-like PDAC
37741-3,Classical_CEACAM,Classical PDAC
37746-3,Endothelial cells,Endothelial cells
37749-3,myCAF_POSTN,Fibroblasts
37753-3,Ductal cells,Ductal cells
37769-3,Acinar cells,Acinar cells
37770-3,B cells,Lymphocytes
37780-3,myCAF_ACTA2,Fibroblasts
37782-3,Gamma cells,Endocrine cells
37788-3,Beta cells,Endocrine cells
37789-3,Macrophages_M2,Macrophages
37791-3,Classical_CEACAM,Classical PDAC
37799-3,Classical_TFF1,Classical PDAC
37801-3,Acinar cells,Acinar cells
37805-3,Endothelial cells,Endothelial cells
37807-3,Classical_TFF1,Classical PDAC
37808-3,Classical_TFF1,Classical PDAC
37815-3,Ductal cells,Ductal cells
37819-3,Classical_TFF1,Classical PDAC
37831-3,Schwann cells,Schwann cells
37836-3,Ductal cells,Ductal cells
37837-3,Classical_CEACAM,Classical PDAC
37844-3,Classical_CEACAM,Classical PDAC
37855-3,myCAF_ACTA2,Fibroblasts
37872-3,Ductal cells,Ductal cells
37879-3,Macrophages_M1,Macrophages
37884-3,Acinar cells,Acinar cells
37890-3,Classical_KRT7,Classical PDAC
37897-3,Classical_CEACAM,Classical PDAC
37900-3,Acinar cells,Acinar cells
37904-3,Beta cells,Endocrine cells
37905-3,Ductal cells,Ductal cells
37909-3,Classical_KRT7,Classical PDAC
37912-3,Acinar cells,Acinar cells
37918-3,B cells,Lymphocytes
37920-3,Macrophages_M2,Macrophages
37923-3,T cells,Lymphocytes
37940-3,Acinar cells,Acinar cells
37949-3,myCAF_ACTA2,Fibroblasts
37958-3,Macrophages_M1,Macrophages
37969-3,Classical_KRT7,Classical PDAC
37973-3,Classical_KRT7,Classical PDAC
37976-3,Macrophages_M2,Macrophages
37982-3,myCAF_ACTA2,Fibroblasts
37988-3,T cells,Lymphocytes
37996-3,B cells,Lymphocytes
38006-3,Classical_CEACAM,Classical PDAC
38008-3,Acinar cells,Acinar cells
38032-3,Classical_CEACAM,Classical PDAC
38033-3,Endothelial cells,Endothelial cells
38040-3,Acinar cells,Acinar cells
38042-3,Classical_CEACAM,Classical PDAC
38047-3,myCAF_POSTN,Fibroblasts
38049-3,Acinar cells,Acinar cells
38050-3,Classical_CEACAM,Classical PDAC
38053-3,Acinar cells,Acinar cells
38055-3,NK cells,Lymphocytes
38061-3,Classical_CEACAM,Classical PDAC
38084-3,iCAF,Fibroblasts
38085-3,Classical_CEACAM,Classical PDAC
38087-3,Macrophages_M1,Macrophages
38097-3,Endothelial cells,Endothelial cells
38107-3,Classical_CEACAM,Classical PDAC
38108-3,Classical_CEACAM,Classical PDAC
38111-3,Classical_CEACAM,Classical PDAC
38112-3,myCAF_ACTA2,Fibroblasts
38115-3,Beta cells,Endocrine cells
38120-3,T cells,Lymphocytes
38123-3,Classical_CEACAM,Classical PDAC
38128-3,myCAF_ACTA2,Fibroblasts
38129-3,Acinar cells,Acinar cells
38135-3,Ductal cells,Ductal cells
38137-3,Classical_TFF1,Classical PDAC
38145-3,Basal,Basal-like PDAC
38150-3,Beta cells,Endocrine cells
38160-3,T cells,Lymphocytes
38172-3,Acinar cells,Acinar cells
38174-3,B cells,Lymphocytes
38185-3,T cells,Lymphocytes
38200-3,B cells,Lymphocytes
38214-3,myCAF_ACTA2,Fibroblasts
38218-3,Basal,Basal-like PDAC
38226-3,iCAF,Fibroblasts
38233-3,Beta cells,Endocrine cells
38234-3,myCAF_POSTN,Fibroblasts
38237-3,Beta cells,Endocrine cells
38244-3,Classical_CEACAM,Classical PDAC
38264-3,Classical_CEACAM,Classical PDAC
38266-3,Classical_CEACAM,Classical PDAC
38295-3,Macrophages_M2,Macrophages
38305-3,Classical_KRT7,Classical PDAC
38308-3,myCAF_ACTA2,Fibroblasts
38315-3,Acinar cells,Acinar cells
38334-3,NK cells,Lymphocytes
38336-3,B cells,Lymphocytes
38349-3,Classical_TFF1,Classical PDAC
38367-3,Macrophages_M2,Macrophages
38374-3,B cells,Lymphocytes
38377-3,B cells,Lymphocytes
38380-3,B cells,Lymphocytes
38385-3,Endothelial cells,Endothelial cells
38387-3,Classical_CEACAM,Classical PDAC
38415-3,Classical_CEACAM,Classical PDAC
38425-3,Macrophages_M1,Macrophages
38432-3,Acinar cells,Acinar cells
38433-3,Classical_TFF1,Classical PDAC
38441-3,Basal,Basal-like PDAC
38448-3,T cells,Lymphocytes
38449-3,B cells,Lymphocytes
38459-3,Schwann cells,Schwann cells
38462-3,Acinar cells,Acinar cells
38467-3,Acinar cells,Acinar cells
38468-3,Schwann cells,Schwann cells
38469-3,Endothelial cells,Endothelial cells
38474-3,Classical_CEACAM,Classical PDAC
38481-3,Ductal cells,Ductal cells
38488-3,Classical_KRT7,Classical PDAC
38492-3,Endothelial cells,Endothelial cells
38497-3,Classical_CEACAM,Classical PDAC
38505-3,iCAF,Fibroblasts
38506-3,myCAF_POSTN,Fibroblasts
38507-3,Schwann cells,Schwann cells
38508-3,Classical_TFF1,Classical PDAC
38509-3,B cells,Lymphocytes
38512-3,Classical_CEACAM,Classical PDAC
38516-3,Acinar cells,Acinar cells
38525-3,Classical_TFF1,Classical PDAC
38528-3,Alpha cells,Endocrine cells
38541-3,Endothelial cells,Endothelial cells
38546-3,Endothelial cells,Endothelial cells
38552-3,myCAF_POSTN,Fibroblasts
38563-3,Basal,Basal-like PDAC
38565-3,Ductal cells,Ductal cells
38568-3,Classical_TFF1,Classical PDAC
38576-3,Classical_CEACAM,Classical PDAC
38582-3,Acinar cells,Acinar cells
38593-3,Acinar cells,Acinar cells
38606-3,Alpha cells,Endocrine cells
38613-3,Ductal cells,Ductal cells
38625-3,myCAF_POSTN,Fibroblasts
38642-3,Classical_KRT7,Classical PDAC
38645-3,myCAF_POSTN,Fibroblasts
38653-3,myCAF_ACTA2,Fibroblasts
38666-3,Schwann cells,Schwann cells
38682-3,myCAF_ACTA2,Fibroblasts
38687-3,Endothelial cells,Endothelial cells
38692-3,Classical_TFF1,Classical PDAC
38702-3,Classical_CEACAM,Classical PDAC
38704-3,myCAF_ACTA2,Fibroblasts
38711-3,Classical_CEACAM,Classical PDAC
38714-3,Alpha cells,Endocrine cells
38733-3,Schwann cells,Schwann cells
38737-3,Schwann cells,Schwann cells
38755-3,myCAF_POSTN,Fibroblasts
38759-3,Classical_CEACAM,Classical PDAC
38760-3,Classical_CEACAM,Classical PDAC
38765-3,iCAF,Fibroblasts
38770-3,Classical_TFF1,Classical PDAC
38779-3,myCAF_ACTA2,Fibroblasts
38783-3,myCAF_POSTN,Fibroblasts
38792-3,myCAF_ACTA2,Fibroblasts
38794-3,myCAF_POSTN,Fibroblasts
38808-3,Classical_TFF1,Classical PDAC
38811-3,myCAF_ACTA2,Fibroblasts
38823-3,Classical_REG4,Classical PDAC
38826-3,Classical_TFF1,Classical PDAC
38827-3,Beta cells,Endocrine cells
38828-3,Classical_CEACAM,Classical PDAC
38830-3,T cells,Lymphocytes
38833-3,Classical_KRT7,Classical PDAC
38841-3,Acinar cells,Acinar cells
38843-3,Classical_CEACAM,Classical PDAC
38844-3,Classical_CEACAM,Classical PDAC
38858-3,Classical_CEACAM,Classical PDAC
38865-3,Classical_TFF1,Classical PDAC
38866-3,Macrophages_M1,Macrophages
38869-3,T cells,Lymphocytes
38879-3,Classical_KRT7,Classical PDAC
38885-3,Classical_CEACAM,Classical PDAC
38888-3,B cells,Lymphocytes
38890-3,myCAF_ACTA2,Fibroblasts
38898-3,Ductal cells,Ductal cells
38899-3,Acinar cells,Acinar cells
38901-3,Classical_TFF1,Classical PDAC
38911-3,Classical_TFF1,Classical PDAC
38912-3,Classical_TFF1,Classical PDAC
38913-3,Classical_TFF1,Classical PDAC
38922-3,Acinar cells,Acinar cells
38927-3,Schwann cells,Schwann cells
38928-3,Acinar cells,Acinar cells
38930-3,iCAF,Fibroblasts
38933-3,Classical_CEACAM,Classical PDAC
38936-3,Macrophages_M1,Macrophages
38939-3,Acinar cells,Acinar cells
38951-3,Beta cells,Endocrine cells
38956-3,Endothelial cells,Endothelial cells
38964-3,Classical_CEACAM,Classical PDAC
38967-3,Classical_CEACAM,Classical PDAC
38974-3,Classical_TFF1,Classical PDAC
38976-3,Macrophages_M2,Macrophages
38985-3,Classical_CEACAM,Classical PDAC
38987-3,Classical_CEACAM,Classical PDAC
38993-3,myCAF_POSTN,Fibroblasts
39002-3,Classical_CEACAM,Classical PDAC
39005-3,Classical_CEACAM,Classical PDAC
39009-3,Macrophages_M2,Macrophages
39011-3,Classical_CEACAM,Classical PDAC
39019-3,Acinar cells,Acinar cells
39022-3,Classical_TFF1,Classical PDAC
39039-3,Classical_TFF1,Classical PDAC
39043-3,Classical_CEACAM,Classical PDAC
39044-3,Classical_CEACAM,Classical PDAC
39050-3,T cells,Lymphocytes
39052-3,myCAF_POSTN,Fibroblasts
39054-3,Ductal cells,Ductal cells
39057-3,Classical_KRT7,Classical PDAC
39069-3,Endothelial cells,Endothelial cells
39070-3,myCAF_POSTN,Fibroblasts
39071-3,B cells,Lymphocytes
39073-3,B cells,Lymphocytes
39074-3,iCAF,Fibroblasts
39076-3,Classical_REG4,Classical PDAC
39096-3,Classical_CEACAM,Classical PDAC
39100-3,myCAF_ACTA2,Fibroblasts
39102-3,Classical_CEACAM,Classical PDAC
39118-3,Classical_TFF1,Classical PDAC
39134-3,Classical_CEACAM,Classical PDAC
39148-3,Schwann cells,Schwann cells
39152-3,Classical_CEACAM,Classical PDAC
39166-3,NK cells,Lymphocytes
39174-3,NK cells,Lymphocytes
39178-3,Classical_CEACAM,Classical PDAC
39197-3,Endothelial cells,Endothelial cells
